name,isin,symbol,market,currency,close,close_date,last_price,volume,turnover,ibkr_symbol,ibkr_exchange,ibkr_price,ibkr_price_source,ibkr_bid,ibkr_ask,ibkr_volume,ibkr_last,ibkr_close,ibkr_timestamp,ibkr_status,ibkr_search_method,market_status
JACQUES BOGART,FR0012872141,JBOG,Euronext Paris,EUR,4.0,2025-08-22,4,211.0,839.36,JBOG,SMART,3.96,CLOSE_TICKER,,,,,3.96,2025-08-28T21:19:26.113326,OK,ISIN:FR0012872141->JBOG@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
JACQUET METALS,FR0000033904,JCQ,Euronext Paris,EUR,20.85,2025-08-22,20.85,2697.0,56068.5,JCQ,SMART,20.15,CLOSE_TICKER,,,,,20.15,2025-08-28T21:19:27.389676,OK,ISIN:FR0000033904->JCQ@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
JCDECAUX,FR0000077919,DEC,Euronext Paris,EUR,15.08,2025-08-22,15.08,101945.0,1531438.93,DEC,SMART,14.93,CLOSE_TICKER,,,,,14.93,2025-08-28T21:19:28.713348,OK,ISIN:FR0000077919->DEC@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
KAUFMAN ET BROAD,FR0004007813,KOF,Euronext Paris,EUR,31.35,2025-08-22,31.35,11871.0,370321.65,KOF,SMART,29.15,CLOSE_TICKER,,,,,29.15,2025-08-28T21:19:30.100452,OK,ISIN:FR0004007813->KOF@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
KERING,FR0000121485,KER,Euronext Paris,EUR,223.8,2025-08-22,223.8,230855.0,51460907.125,KER,SMART,229.5,CLOSE_TICKER,,,,,229.5,2025-08-28T21:19:31.474838,OK,ISIN:FR0000121485->KER@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
KLEPIERRE,FR0000121964,LI,Euronext Paris,EUR,35.38,2025-08-22,35.38,198576.0,7021996.58,LI,SMART,33.54,CLOSE_TICKER,,,,,33.54,2025-08-28T21:19:32.816580,OK,ISIN:FR0000121964->LI@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
L'OREAL,FR0000120321,OR,Euronext Paris,EUR,399.0,2025-08-22,399,157925.0,63061095.0,OR,SMART,401.25,CLOSE_TICKER,,,,,401.25,2025-08-28T21:19:34.136670,OK,ISIN:FR0000120321->OR@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
LACROIX GROUP,FR0000066607,LACR,Euronext Paris,EUR,8.66,2025-08-22,8.66,414.0,3584.9,LACR,SMART,8.42,CLOSE_TICKER,,,,,8.42,2025-08-28T21:19:35.463907,OK,ISIN:FR0000066607->LACR@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
LAGARDERE SA,FR0000130213,MMB,Euronext Paris,EUR,20.65,2025-08-22,20.65,3858.0,79457.25,MMB,SMART,20.3,CLOSE_TICKER,,,,,20.3,2025-08-28T21:19:36.819113,OK,ISIN:FR0000130213->MMB@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
LATECOERE,FR001400JY13,LAT,Euronext Paris,EUR,0.0132,2025-08-22,0.0132,1169671.0,15318.067,LAT,SMART,0.013,CLOSE_TICKER,,,,,0.013,2025-08-28T21:19:38.095846,OK,ISIN:FR001400JY13->LAT@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
