name,isin,symbol,market,currency,close,close_date,last_price,volume,turnover,ibkr_symbol,ibkr_exchange,ibkr_price,ibkr_price_source,ibkr_bid,ibkr_ask,ibkr_volume,ibkr_last,ibkr_close,ibkr_spread_pct,ibkr_liquidite,ibkr_timestamp,ibkr_status,ibkr_search_method,market_status
AERKOMM INC,US00774B2088,AKOM,Euronext Paris,EUR,2.8,2025-08-29,2.8,8.0,22.4,,,,,,,,,,,,,CONTRACT_NOT_FOUND,NOT_FOUND,WEEKEND
AFFLUENT MED BSAR,FR001400FL38,AFMBS,Euronext Paris,EUR,0.0005,2025-08-29,0.0005,130.0,0.06,,,,,,,,,,,,,CONTRACT_NOT_FOUND,NOT_FOUND,WEEKEND
AFFLUENT MEDICAL,FR0013333077,AFME,Euronext Paris,EUR,1.62,2025-08-29,1.62,10732.0,17152.54,AFME,SMART,1.53,CLOSE_TICKER,,,,,1.53,,TRES_FAIBLE,2025-08-31T18:11:44.459018,OK,CACHE:ISIN:FR0013333077->AFME@SMART,WEEKEND
AGEAS,BE0974264930,AGS,Euronext Brussels,EUR,60.2,2025-08-29,60.2,243950.0,14679218.0,AGS,SMART,60.65,CLOSE_TICKER,,,,,60.65,,TRES_FAIBLE,2025-08-31T18:11:45.605419,OK,CACHE:ISIN:BE0974264930->AGS@SMART,WEEKEND
AGFA-GEVAERT,BE0003755692,AGFB,Euronext Brussels,EUR,1.07,2025-08-29,1.07,162535.0,175146.618,AGFB,SMART,1.098,CLOSE_TICKER,,,,,1.098,,TRES_FAIBLE,2025-08-31T18:11:46.758334,OK,CACHE:ISIN:BE0003755692->AGFB@SMART,WEEKEND
Agility Capital H,VGG885761301,AGIL,Euronext Amsterdam,USD,2.76,2025-08-29,2.76,4.0,11.04,AGIL,,,NO_DATA,,,,,,,,,NO_PRICE_DATA,NAME:Agility Capital H->AGIL@,WEEKEND
AHOLD DEL,NL0011794037,AD,"Euronext Amsterdam, Brussels",EUR,34.25,2025-08-29,34.25,1535058.0,52602182.36,AD,SMART,34.25,CLOSE_TICKER,,,,,34.25,,TRES_FAIBLE,2025-08-31T18:11:49.366933,OK,CACHE:ISIN:NL0011794037->AD@SMART,WEEKEND
AIR FRANCE -KLM,FR001400J770,AF,"Euronext Paris, Amsterdam",EUR,13.415,2025-08-29,13.415,838243.0,11278928.0975,AF,SMART,13.63,CLOSE_TICKER,,,,,13.63,,TRES_FAIBLE,2025-08-31T18:11:50.511372,OK,CACHE:ISIN:FR001400J770->AF@SMART,WEEKEND
AIR LIQUIDE,FR0000120073,AI,Euronext Paris,EUR,176.22,2025-08-29,176.22,476997.0,84111325.56,AI,SMART,177.4,CLOSE_TICKER,,,,,177.4,,TRES_FAIBLE,2025-08-31T18:11:51.665552,OK,CACHE:ISIN:FR0000120073->AI@SMART,WEEKEND
AIRBUS,NL0000235190,AIR,Euronext Paris,EUR,179.06,2025-08-29,179.06,773553.0,138541461.61,AIR,SMART,178.62,CLOSE_TICKER,,,,,178.62,,TRES_FAIBLE,2025-08-31T18:11:52.822937,OK,CACHE:ISIN:NL0000235190->AIR@SMART,WEEKEND
AJAX,NL0000018034,AJAX,Euronext Amsterdam,EUR,9.56,2025-08-29,9.56,606.0,5808.54,AJAX,SMART,9.62,CLOSE_TICKER,,,,,9.62,,TRES_FAIBLE,2025-08-31T18:11:53.959684,OK,CACHE:ISIN:NL0000018034->AJAX@SMART,WEEKEND
AKWEL,FR0000053027,AKW,Euronext Paris,EUR,8.0,2025-08-29,8,4238.0,33931.28,AKW,SMART,8.0,CLOSE_TICKER,,,,,8.0,,TRES_FAIBLE,2025-08-31T18:11:55.115182,OK,CACHE:ISIN:FR0000053027->AKW@SMART,WEEKEND
AKZO NOBEL,NL0013267909,AKZA,Euronext Amsterdam,EUR,59.0,2025-08-29,59,284724.0,16793052.63,AKZA,SMART,59.32,CLOSE_TICKER,,,,,59.32,,TRES_FAIBLE,2025-08-31T18:11:56.257174,OK,CACHE:ISIN:NL0013267909->AKZA@SMART,WEEKEND
ALAN ALLMAN,FR0000062465,AAA,Euronext Paris,EUR,3.96,2025-08-29,3.96,1.0,3.96,AAA,SMART,3.96,CLOSE_TICKER,,,,,3.96,,TRES_FAIBLE,2025-08-31T18:11:57.414354,OK,CACHE:ISIN:FR0000062465->AAA@SMART,WEEKEND
ALFEN,NL0012817175,ALFEN,Euronext Amsterdam,EUR,9.878,2025-08-29,9.878,738275.0,7372037.237,ALFEN,SMART,9.77,CLOSE_TICKER,,,,,9.77,,TRES_FAIBLE,2025-08-31T18:11:58.558760,OK,CACHE:ISIN:NL0012817175->ALFEN@SMART,WEEKEND
ALLFUNDS GROUP,GB00BNTJ3546,ALLFG,Euronext Amsterdam,EUR,6.0,2025-08-29,6,478376.0,2880208.44,ALLFG,SMART,6.105,CLOSE_TICKER,,,,,6.105,,TRES_FAIBLE,2025-08-31T18:11:59.706887,OK,CACHE:ISIN:GB00BNTJ3546->ALLFG@SMART,WEEKEND
ALMUNDA PRO NV,NL0010696704,AMUND,Euronext Amsterdam,EUR,1.1,2025-08-29,1.1,1563.0,1762.92,AMUND,SMART,1.08,CLOSE_TICKER,,,,,1.08,,TRES_FAIBLE,2025-08-31T18:12:00.858036,OK,CACHE:ISIN:NL0010696704->AMUND@SMART,WEEKEND
ALPES (COMPAGNIE),FR0000053324,CDA,Euronext Paris,EUR,22.15,2025-08-29,22.15,27342.0,608301.05,CDA,SMART,22.5,CLOSE_TICKER,,,,,22.5,,TRES_FAIBLE,2025-08-31T18:12:02.011834,OK,CACHE:ISIN:FR0000053324->CDA@SMART,WEEKEND
ALSTOM,FR0010220475,ALO,Euronext Paris,EUR,20.54,2025-08-29,20.54,710954.0,14583739.2,ALO,SMART,20.49,CLOSE_TICKER,,,,,20.49,,TRES_FAIBLE,2025-08-31T18:12:03.160236,OK,CACHE:ISIN:FR0010220475->ALO@SMART,WEEKEND
ALTAMIR,FR0000053837,LTA,Euronext Paris,EUR,28.8,2025-08-29,28.8,336.0,9676.8,LTA,SMART,28.8,CLOSE_TICKER,,,,,28.8,,TRES_FAIBLE,2025-08-31T18:12:04.309972,OK,CACHE:ISIN:FR0000053837->LTA@SMART,WEEKEND
ALTAREA,FR0000033219,ALTA,Euronext Paris,EUR,101.4,2025-08-29,101.4,4434.0,452840.6,ALTA,SMART,102.0,CLOSE_TICKER,,,,,102.0,,TRES_FAIBLE,2025-08-31T18:12:05.457671,OK,CACHE:ISIN:FR0000033219->ALTA@SMART,WEEKEND
ALTAREIT,FR0000039216,AREIT,Euronext Paris,EUR,555.0,2025-08-29,555,1.0,555.0,AREIT,SMART,555.0,CLOSE_TICKER,,,,,555.0,,TRES_FAIBLE,2025-08-31T18:12:06.600974,OK,CACHE:ISIN:FR0000039216->AREIT@SMART,WEEKEND
ALTEN,FR0000071946,ATE,Euronext Paris,EUR,65.9,2025-08-29,65.9,23616.0,1562430.25,ATE,SMART,67.25,CLOSE_TICKER,,,,,67.25,,TRES_FAIBLE,2025-08-31T18:12:07.740914,OK,CACHE:ISIN:FR0000071946->ATE@SMART,WEEKEND
ALUMEXX N.V.,NL0012194724,ALX,Euronext Amsterdam,EUR,1.42,2025-08-29,1.42,2002.0,2804.43,ALX,SMART,1.42,HISTORICAL,,,,,1.42,,,2025-08-31T18:12:09.021644,OK,CACHE:ISIN:NL0012194724->ALX@SMART,WEEKEND
AMG,NL0000888691,AMG,Euronext Amsterdam,EUR,26.26,2025-08-29,26.26,133981.0,3548270.82,AMG,SMART,26.46,CLOSE_TICKER,,,,,26.46,,TRES_FAIBLE,2025-08-31T18:12:10.059130,OK,CACHE:ISIN:NL0000888691->AMG@SMART,WEEKEND
AMPLITUDE SURGICAL,FR0012789667,AMPLI,Euronext Paris,EUR,6.2,2025-08-29,6.2,150.0,930.0,AMPLI,SMART,6.2,CLOSE_TICKER,,,,,6.2,,TRES_FAIBLE,2025-08-31T18:12:11.207689,OK,CACHE:ISIN:FR0012789667->AMPLI@SMART,WEEKEND
AMUNDI,FR0004125920,AMUN,Euronext Paris,EUR,63.15,2025-08-29,63.15,169725.0,10718215.4,AMUN,SMART,63.6,CLOSE_TICKER,,,,,63.6,,TRES_FAIBLE,2025-08-31T18:12:12.358680,OK,CACHE:ISIN:FR0004125920->AMUN@SMART,WEEKEND
ANTIN INFRA PARTN,FR0014005AL0,ANTIN,Euronext Paris,EUR,11.4,2025-08-29,11.4,18301.0,210210.18,ANTIN,SMART,11.66,CLOSE_TICKER,,,,,11.66,,TRES_FAIBLE,2025-08-31T18:12:13.506759,OK,CACHE:ISIN:FR0014005AL0->ANTIN@SMART,WEEKEND
APERAM,LU0569974404,APAM,"Euronext Amsterdam, Brussels, Paris",EUR,25.94,2025-08-29,25.94,136841.0,3547540.82,APAM,SMART,26.12,CLOSE_TICKER,,,,,26.12,,TRES_FAIBLE,2025-08-31T18:12:14.653297,OK,CACHE:ISIN:LU0569974404->APAM@SMART,WEEKEND
ARAMIS GROUP,FR0014003U94,ARAMI,Euronext Paris,EUR,5.5,2025-08-29,5.5,45145.0,250921.99,ARAMI,SMART,5.54,CLOSE_TICKER,,,,,5.54,,TRES_FAIBLE,2025-08-31T18:12:15.787380,OK,CACHE:ISIN:FR0014003U94->ARAMI@SMART,WEEKEND
ARCADIS,NL0006237562,ARCAD,Euronext Amsterdam,EUR,39.42,2025-08-29,39.42,152768.0,6030288.04,ARCAD,SMART,40.02,CLOSE_TICKER,,,,,40.02,,TRES_FAIBLE,2025-08-31T18:12:16.925709,OK,CACHE:ISIN:NL0006237562->ARCAD@SMART,WEEKEND
ARCELORMITTAL SA,LU1598757687,MT,"Euronext Amsterdam, Paris",EUR,28.46,2025-08-29,28.46,1292656.0,36787384.85,MT,SMART,28.54,CLOSE_TICKER,,,,,28.54,,TRES_FAIBLE,2025-08-31T18:12:18.070926,OK,CACHE:ISIN:LU1598757687->MT@SMART,WEEKEND
ARGAN,FR0010481960,ARG,Euronext Paris,EUR,64.7,2025-08-29,64.7,13743.0,890237.3,ARG,SMART,64.9,CLOSE_TICKER,,,,,64.9,,TRES_FAIBLE,2025-08-31T18:12:19.222569,OK,CACHE:ISIN:FR0010481960->ARG@SMART,WEEKEND
ARGENX SE,NL0010832176,ARGX,Euronext Brussels,EUR,604.0,2025-08-29,604,93983.0,56833727.7,ARGX,SMART,602.6,CLOSE_TICKER,,,,,602.6,,TRES_FAIBLE,2025-08-31T18:12:20.370731,OK,CACHE:ISIN:NL0010832176->ARGX@SMART,WEEKEND
ARKEMA,FR0010313833,AKE,Euronext Paris,EUR,60.6,2025-08-29,60.6,156406.0,9475457.975,AKE,SMART,61.3,CLOSE_TICKER,,,,,61.3,,TRES_FAIBLE,2025-08-31T18:12:21.519383,OK,CACHE:ISIN:FR0010313833->AKE@SMART,WEEKEND
ARTEA,FR0012185536,ARTE,Euronext Paris,EUR,11.2,2025-08-29,11.2,204.0,2284.8,ARTE,SMART,11.2,CLOSE_TICKER,,,,,11.2,,TRES_FAIBLE,2025-08-31T18:12:22.667351,OK,CACHE:ISIN:FR0012185536->ARTE@SMART,WEEKEND
ARTMARKET COM,FR0000074783,PRC,Euronext Paris,EUR,4.15,2025-08-29,4.15,7878.0,33423.06,PRC,SMART,4.28,CLOSE_TICKER,,,,,4.28,,TRES_FAIBLE,2025-08-31T18:12:23.804382,OK,CACHE:ISIN:FR0000074783->PRC@SMART,WEEKEND
ARTOIS NOM.,FR0000076952,ARTO,Euronext Paris,EUR,9150.0,2025-08-29,9150,1.0,9150.0,ARTO,SMART,9150.0,CLOSE_TICKER,,,,,9150.0,,TRES_FAIBLE,2025-08-31T18:12:24.954144,OK,CACHE:ISIN:FR0000076952->ARTO@SMART,WEEKEND
ARVERNE GROUP,FR001400JWR8,ARVEN,Euronext Paris,EUR,5.25,2025-08-29,5.25,7895.0,42266.4,ARVEN,SMART,5.26,HISTORICAL,,,,,5.26,,,2025-08-31T18:12:26.216635,OK,CACHE:ISIN:FR001400JWR8->ARVEN@SMART,WEEKEND
ARVERNE WARRANT,FR0014003AC4,ARVBS,Euronext Paris,EUR,0.05,2025-08-29,0.05,133110.0,6655.5,ARVBS,SMART,,NO_DATA,,,,,,,,,NO_PRICE_DATA,CACHE:ISIN:FR0014003AC4->ARVBS@SMART,WEEKEND
ASCENCIO,BE0003856730,ASCE,Euronext Brussels,EUR,49.85,2025-08-29,49.85,6660.0,332073.2,ASCE,SMART,50.0,CLOSE_TICKER,,,,,50.0,,TRES_FAIBLE,2025-08-31T18:12:28.569268,OK,CACHE:ISIN:BE0003856730->ASCE@SMART,WEEKEND
ASM INTERNATIONAL,NL0000334118,ASM,Euronext Amsterdam,EUR,410.7,2025-08-29,410.7,139701.0,57905175.5,ASM,SMART,426.4,CLOSE_TICKER,,,,,426.4,,TRES_FAIBLE,2025-08-31T18:12:29.702881,OK,CACHE:ISIN:NL0000334118->ASM@SMART,WEEKEND
ASML HOLDING,NL0010273215,ASML,Euronext Amsterdam,EUR,636.6,2025-08-29,636.6,575674.0,369507801.65,ASML,SMART,654.3,CLOSE_TICKER,,,,,654.3,,TRES_FAIBLE,2025-08-31T18:12:30.852312,OK,CACHE:ISIN:NL0010273215->ASML@SMART,WEEKEND
ASR NEDERLAND,NL0011872643,ASRNL,Euronext Amsterdam,EUR,59.28,2025-08-29,59.28,284349.0,16860010.5,ASRNL,SMART,59.66,CLOSE_TICKER,,,,,59.66,,TRES_FAIBLE,2025-08-31T18:12:31.992427,OK,CACHE:ISIN:NL0011872643->ASRNL@SMART,WEEKEND
ASSYSTEM,FR0000074148,ASY,Euronext Paris,EUR,44.9,2025-08-29,44.9,7409.0,335586.95,ASY,SMART,45.55,CLOSE_TICKER,,,,,45.55,,TRES_FAIBLE,2025-08-31T18:12:33.130955,OK,CACHE:ISIN:FR0000074148->ASY@SMART,WEEKEND
ATEME,FR0011992700,ATEME,Euronext Paris,EUR,6.3,2025-08-29,6.3,7842.0,49761.32,ATEME,SMART,6.46,CLOSE_TICKER,,,,,6.46,,TRES_FAIBLE,2025-08-31T18:12:34.267842,OK,CACHE:ISIN:FR0011992700->ATEME@SMART,WEEKEND
ATENOR,BE0003837540,ATEB,Euronext Brussels,EUR,3.3,2025-08-29,3.3,3554.0,11675.04,ATEB,SMART,3.25,CLOSE_TICKER,,,,,3.25,,TRES_FAIBLE,2025-08-31T18:12:35.415606,OK,CACHE:ISIN:BE0003837540->ATEB@SMART,WEEKEND
ATLAND,FR0013455482,ATLD,Euronext Paris,EUR,44.2,2025-08-29,44.2,12.0,530.4,ATLD,SMART,44.3,CLOSE_TICKER,,,,,44.3,,TRES_FAIBLE,2025-08-31T18:12:36.550185,OK,CACHE:ISIN:FR0013455482->ATLD@SMART,WEEKEND
ATOS,FR001400X2S4,ATO,Euronext Paris,EUR,43.68,2025-08-29,43.68,99542.0,4439472.345,ATO,SMART,44.55,CLOSE_TICKER,,,,,44.55,,TRES_FAIBLE,2025-08-31T18:12:37.696532,OK,CACHE:ISIN:FR001400X2S4->ATO@SMART,WEEKEND
AUBAY,FR0000063737,AUB,Euronext Paris,EUR,45.5,2025-08-29,45.5,6793.0,311448.75,AUB,SMART,46.2,CLOSE_TICKER,,,,,46.2,,TRES_FAIBLE,2025-08-31T18:12:38.742675,OK,CACHE:ISIN:FR0000063737->AUB@SMART,WEEKEND
AUGROS COSMETIC,FR0000061780,AUGR,Euronext Paris,EUR,5.55,2025-08-29,5.55,119.0,660.45,AUGR,SMART,5.55,CLOSE_TICKER,,,,,5.55,,TRES_FAIBLE,2025-08-31T18:12:39.876934,OK,CACHE:ISIN:FR0000061780->AUGR@SMART,WEEKEND
AUREA,FR0000039232,AURE,Euronext Paris,EUR,5.82,2025-08-29,5.82,19.0,110.58,AURE,SMART,5.8,CLOSE_TICKER,,,,,5.8,,TRES_FAIBLE,2025-08-31T18:12:41.011812,OK,CACHE:ISIN:FR0000039232->AURE@SMART,WEEKEND
AVANTIUM,NL0015002IE0,AVTX,"Euronext Amsterdam, Brussels",EUR,13.896,2025-08-29,13.896,291392.0,4122426.074,AVTX,SMART,13.042,CLOSE_TICKER,,,,,13.042,,TRES_FAIBLE,2025-08-31T18:12:42.159251,OK,CACHE:ISIN:NL0015002IE0->AVTX@SMART,WEEKEND
AVENIR TELECOM,FR001400CFI7,AVT,Euronext Paris,EUR,0.0376,2025-08-29,0.0376,142936.0,5305.0124,AVT,SMART,0.0356,CLOSE_TICKER,,,,,0.0356,,TRES_FAIBLE,2025-08-31T18:12:43.304260,OK,CACHE:ISIN:FR001400CFI7->AVT@SMART,WEEKEND
AXA,FR0000120628,CS,Euronext Paris,EUR,39.79,2025-08-29,39.79,2839423.0,112971853.755,CS,SMART,39.9,CLOSE_TICKER,,,,,39.9,,TRES_FAIBLE,2025-08-31T18:12:44.457030,OK,CACHE:ISIN:FR0000120628->CS@SMART,WEEKEND
AYVENS,FR0013258662,AYV,Euronext Paris,EUR,9.465,2025-08-29,9.465,414638.0,3918008.205,AYV,SMART,9.705,CLOSE_TICKER,,,,,9.705,,TRES_FAIBLE,2025-08-31T18:12:45.614395,OK,CACHE:ISIN:FR0013258662->AYV@SMART,WEEKEND
AZELIS GROUP,BE0974400328,AZE,Euronext Brussels,EUR,12.74,2025-08-29,12.74,305464.0,3905369.32,AZE,SMART,12.97,CLOSE_TICKER,,,,,12.97,,TRES_FAIBLE,2025-08-31T18:12:46.764435,OK,CACHE:ISIN:BE0974400328->AZE@SMART,WEEKEND
AZERION,NL00150006Z9,AZRN,Euronext Amsterdam,EUR,1.375,2025-08-29,1.375,14687.0,19906.33,AZRN,SMART,1.35,CLOSE_TICKER,,,,,1.35,,TRES_FAIBLE,2025-08-31T18:12:47.928432,OK,CACHE:ISIN:NL00150006Z9->AZRN@SMART,WEEKEND
AZERION WARRANTS,NL00150007A0,AZRNW,Euronext Amsterdam,EUR,0.0005,2025-08-29,0.0005,333.0,0.17,AZRNW,SMART,,NO_DATA,,,,,,,,,NO_PRICE_DATA,CACHE:ISIN:NL00150007A0->AZRNW@SMART,WEEKEND
B&S Group,LU1789205884,BSGR,Euronext Amsterdam,EUR,5.9,2025-08-29,5.9,9323.0,54935.61,BSGR,SMART,5.9,CLOSE_TICKER,,,,,5.9,,TRES_FAIBLE,2025-08-31T18:12:50.257024,OK,CACHE:ISIN:LU1789205884->BSGR@SMART,WEEKEND
BAINS MER MONACO,MC0000031187,BAIN,Euronext Paris,EUR,106.0,2025-08-29,106,164.0,17359.0,BAIN,SMART,106.0,CLOSE_TICKER,,,,,106.0,,TRES_FAIBLE,2025-08-31T18:12:51.412512,OK,CACHE:ISIN:MC0000031187->BAIN@SMART,WEEKEND
BALYO,FR0013258399,BALYO,Euronext Paris,EUR,0.388,2025-08-29,0.388,922.0,359.616,BALYO,SMART,0.391,CLOSE_TICKER,,,,,0.391,,TRES_FAIBLE,2025-08-31T18:12:52.447687,OK,CACHE:ISIN:FR0013258399->BALYO@SMART,WEEKEND
BAM GROEP KON,NL0000337319,BAMNB,Euronext Amsterdam,EUR,7.615,2025-08-29,7.615,637730.0,4858528.155,BAMNB,SMART,7.645,CLOSE_TICKER,,,,,7.645,,TRES_FAIBLE,2025-08-31T18:12:53.575543,OK,CACHE:ISIN:NL0000337319->BAMNB@SMART,WEEKEND
