symbol,prix_actuel,prix_initial,prix_max,prix_min,prix_moyen,variation_totale_pct,volatilite_quotidienne_pct,tendance,nb_jours_donnees
AMPLI,6.2,6.2,6.26,6.2,6.2212499999999995,0.0,0.7590764678205608,0.002976190476190976,8
AMUN,63.75,63.0,63.75,62.2,63.01,1.1904761904761905,1.1011807229958828,0.1126190476190487,8
AMUND,1.1,1.18,1.18,1.08,1.1416666666666666,-6.77966101694914,2.8145526872976623,-0.02142857142857136,6
ANTIN,11.5,10.98,11.66,10.98,11.342500000000001,4.73588342440801,2.030679667170741,0.0826190476190484,8
APAM,26.0,26.68,27.14,25.88,26.35125,-2.548725637181408,1.6532837562758116,-0.1720238095238066,8
ARAMI,5.63,5.45,5.63,5.33,5.501250000000001,3.302752293577976,1.4143055792866295,0.03464285714285733,8
ARCAD,39.6,40.92,40.92,39.12,40.07666666666667,-3.225806451612904,1.880904942283412,-0.28628571428571725,6
AREIT,555.0,526.0,556.0,526.0,543.0,5.513307984790875,1.4282968295878546,5.333333333333402,8
ARG,65.0,64.0,65.0,63.5,64.38125,1.5625,0.9831882067049903,0.17083333333333675,8
ARGX,603.6,652.0,652.0,602.6,626.2666666666667,-7.423312883435579,1.8406706264335384,-11.748571428571461,6
ARTE,11.2,10.9,11.2,10.9,11.125,2.7522935779816415,0.8832612396107341,0.03809523809523846,8
ARTO,9150.0,9000.0,9150.0,9000.0,9075.0,1.6666666666666667,0.9622504486493729,59.999999999998046,4
ARVBS,0.05,0.05,0.05,0.05,0.05,0.0,0.0,-5.0440596509436806e-18,5
ARVEN,5.1,5.1,5.26,4.96,5.088571428571428,0.0,3.2100691915547133,0.03071428571428586,7
ASCE,49.96,50.1,50.8,49.96,50.14333333333334,-0.2794411177644722,1.0518218856800265,-0.08857142857142918,6
ASM,414.0,422.2,426.4,401.7,417.0833333333333,-1.9422074846044504,3.86161557291349,-1.2371428571428862,6
ASML,637.1,683.2,683.2,625.3,656.1166666666667,-6.747658079625296,3.683823666218981,-9.494285714285768,6
ASRNL,59.34,58.2,59.66,57.74,58.56333333333333,1.9587628865979392,1.1804819616521462,0.35485714285714065,6
ASY,46.1,45.16,46.1,43.9,45.01625,2.0814880425155113,2.023229712750156,0.14440476190476645,8
